id,title,content,date_published,accident_datetime,street,city,A_accident_severity,A_driver_age,A_driver_gender,A_number_injured,A_vehicle_type,B_accident_severity,B_driver_age,B_driver_gender,B_number_injured,B_vehicle_type,C_accident_severity,C_driver_age,C_driver_gender,C_number_injured,C_vehicle_type,D_accident_severity,D_driver_age,D_driver_gender,D_number_injured,D_vehicle_type,accident_date_id,accident_severity,total_injured,delete_flag,C_city,C_street,duplicate_of_id
article_490165.0,Pedestrian injured as parked car is pushed forward during crash,"Two persons were hospitalised after a car crashed into a parked vehicle in Guardamangia on Tuesday morning. The accident happened at 7am in St Luke's Square, opposite St Luke's Hospital when a Volkswagen crashed into the back of a parked Mercedes. The Mercedes was pushed forward, hitting a man and injuring him. The driver of the Volkswagen was also injured. The police are investigating. No further details were immediately available.",12/08/2025,12/08/2025 07:00,st luke's square,guardamangia,Serious,none,none,2,Car,,,,,,,,,,,,,,,,20250812,Serious,2,retain,gwardamangia,st luke's square,
release_111,Traffic accident in GwardamanÄ¡a,"Today, at around 0700hrs, the Police were informed of a traffic accident in St Lukeâ€™s Square, GwardamanÄ¡a.The Police went immediately on site and preliminary investigations showed that a collision had occurred between a Volkswagen Caddy driven by a 62-year-old man residing in MellieÄ§a and a Mercedes Benz E320, which was stationary at the side of the road. Consequently, the Mercedes moved forward and hit a 41-year-old woman residing in Valletta.Members of the Civil Protection Department and a medical team were called to the scene and ambulances took the two persons to Mater Dei Hospital for treatment. They were later certified to have sustained grievous injuries.Police investigations into this incident are ongoing.",12/08/2025,12/08/2025 07:00,st lukes square,gwardamanga,Grievious,62,M,1,Car,Grievious,41,F,1,Car,,,,,,,,,,,20250812,Grievious,2,delete,gwardamangia,st luke's square,article_490165.0
release_53,Motorcycle accident in Mgarr,"A 33-year-old Indian national and residing in San Ä wann, at around 1900hrs of yesterday evening, was taken to Mater Dei Hospital because he was injured in a traffic accident in Mosta Road, MÄ¡arr.Preliminary investigations showed that the man was riding a Honda motorcycle, lost control and fell.He was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",11/08/2025,11/08/2025 19:00,mosta road,mgarr,Grievious,33,M,1,Motorbike,,,,,,,,,,,,,,,,20250811,Grievious,1,retain,mgarr,mosta road,
article_489993.0,Food courier injured in MÄ¡arr accident,"A food courier was seriously injured when he lost control of his motorcycle and crashed at Mosta Road, MÄ¡arr, late on Sunday. The police said the 33-year-old Indian national, a resident in San Ä wann fell off his motorcycle at about 7pm. He was given first aid by an ambulance crew and hospitalised in a serious condition.Â  It was the second serious incident involving a food courier on Sunday. Earlier in the day, a Nepalese courier died when his motorcycle was hit by a car driven by an underage motorist in Sta Venera.",11/08/2025,10/08/2025 19:00,mosta road,mgarr,Serious,33,M,1,Motorbike,,,,,,,,,,,,,,,,20250810,Serious,1,retain,mgarr,mosta road,
article_489884.0,Pedestrian injured in Floriana,"A 72-year-old pedestrian was seriously injured when he was hit by a car on National Road, Floriana. The police said the accident happened at 9am on Sunday when the elderly man was hit by a Peugeot Partner van that was being driven by a 78-year-old man from BirÅ¼ebbuÄ¡a. The victim was hospitalised. The police are investigating.",10/08/2025,10/08/2025 09:00,triq nazzjonali,floriana,Serious,78,M,0,Van,Serious,72,M,1,Pedestrian,,,,,,,,,,,20250810,Serious,1,retain,floriana,regional road,
article_489878.0,Hit-and-run victim named as food courier father-of-three Khim Bahadur Pun,"Updated 5.42pm with doctors' call road safety action The 42-year-old motorcyclist who was killed in a horrific hit-and-run in Birkirkara early on Sunday morning has been named as Khim Bahadur Pun from Nepal. A father of three young children, Pun moved to Malta three years ago and was working as a food courier. He is the 18th person to have died on Malta's roads this year.Â  Police said the 42-year-old victim, who was residing in Birkirkara, died after a Maserati Levante crashed into the Kymco motorbike he was driving.Â  Following the impact, the Maserati crashed into three parked vehicles and the three people inside it fled on foot. The 17-year-old driver and his father have been arrested. In a Facebook post, the Non-Resident Nepali Association (NRNA) said they were shocked by the news of Pun's death, all due to an unfortunate road accident.Â   These, the NGO said, are not radical proposals - they are basic safety measures used successfully worldwide. ""The father who died today, and the 17 others before him this year, deserves justice through action. Their families deserve a guarantee that no stone is left unturned so that no other family will endure this preventable heartbreak,"" the doctors said.",10/08/2025,10/08/2025 05:20,triq salvu psaila,birkirkara,Fatal,42,M,1,Motorbike,Fatal,17,none,0,Car,,,,,,,,,,,20250810,Fatal,1,retain,birkirkara,triq salvu psaila,
article_489889.0,"17-year-old arrested over fatal hit-and-run, hours after fleeing scene","Updated 12.30pm with more details Police have arrested an underage driver believed to have been behind the wheel of a car that killed a 42-year-old motorcyclist in a horrific hit-and-run in Birkirkara early on Sunday.Â  The driver, a 17-year-old boy, and an 18-year-old passenger, both from Qormi, were arrested hours after the accident, after fleeing the scene on foot.Â  Initial investigations suggest a Maserati Levante crashed into a Kymco motorbike driven by the victim, a 42-year-old Nepalese man, residing in Birkirkara. The incident happened at 5.20am on Triq Salvu Psaila.Â  Following the impact, the car crashed into three parked vehicles.Â  The victim was pronounced dead at the scene of the accident, while the 17-year-old car driver and two passengers left the scene.Â  One of the passengers, an 18-year-old girl from Mosta, was found a short distance away from the accident and was arrested. She was taken to Mater Dei Hospital, and was later certified to be suffering grievous injuries. It is not yet known if the driver and the other passenger sustained any injuries.Â  The Maserati is owned by the driver's father, who was also arrested by the police.",10/08/2025,10/08/2025 05:20,triq salvu psaila,birkirkara,Fatal,17,M,0,Car,Fatal,42,M,1,Motorbike,,,,,,,,,,,20250810,Fatal,1,delete,birkirkara,triq salvu psaila,article_489878.0
article_490073.0,Underage driver set to be arraigned over Sunday's fatal crash,"A motorist who hit and killed a food courier before crashing into three parked cars is due to be taken to court at noon on Monday. He is expected to face charges of involuntary homicide, reckless driving leading to the death of the 42-year-old motorcyclist from Nepal, driving when he was too young to hold a driving licence, and running away from the scene of the crash. The young man was driving his father's Maserati Levante when the crash happened at 5.20am in Psaila Street, Sta Venera. He was arrested several hours later, along with an 18-year-old woman, a passenger who also ran away from the scene. A third young woman, also a passenger, was arrested minutes after the crash, close to the scene of the crash, having suffered injuries.",11/08/2025,10/08/2025 05:20,psaila street,sta venera,Fatal,17,M,1,Car,Fatal,42,none,0,Motorbike,,,,,,,,,,,20250810,Fatal,1,retain,santa venera,triq salvu psaila,
article_490101.0,"Fundraiser for hit-and-run victim hits over â‚¬11,000 in less than 24 hours","A fundraiser for a food courier killed in a hit-and-run on Sunday has raised over â‚¬11,000 in less than 24 hours. Khim Bahadur Pun, 42, from Nepal, was carrying his Wolt delivery bag when his motorcycle was hit in Â Birkirkara at 5.25am. An underage driver, who was arrested after fleeing the scene, is to be arraigned on Monday in connection with the crash.Â  The Non-Resident Nepali Association (NRNA) said there had been ""huge support"" for a fundraiser it set up to help the father-of-three's family and to cover the funeral costs in Nepal.Â   Khanal described the Nepalese community as ""one big family"", and said the loss of Pun had deeply affected them all. He said he was deeply moved and grateful to see such ""overwhelming"" support for Pun. ""This generosity not only reflects the kindness and compassion of people here in Malta and beyond, but also gives strength and hope to Khim's family during this incredibly difficult time. It's a powerful reminder that humanity transcends borders, and when we come together, we can truly make a difference."" A 17-year-old from Qormi, is due to be taken to court on Monday afternoon.Â  The motorist was driving his father's Maserati Levante when the crash happened at 5.20am in Psaila Street, Sta Venera. He was arrested several hours later, along with an 18-year-old passenger who also ran away from the scene.Â  A third passenger, an 18-year-old woman also from Qormi, was arrested minutes after the crash, close to the scene of the crash, having suffered injuries.",11/08/2025,10/08/2025 05:20,psaila street,sta venera,Fatal,42,M,1,Motorbike,Fatal,17,none,0,Car,,,,,,,,,,,20250810,Fatal,1,delete,santa venera,triq salvu psaila,article_490073.0
article_490010.0,Woman in hospital after overturning car in San Ä wann valley,"A 25-year-old woman was taken to hospital on Saturday morning after she overturned her car while driving through the San Ä wann valley. The woman, who lives in Swieqi, was driving a Volkswagen Polo on Triq il-Pellikan at around 7.30am when she lost control of the vehicle and overturned it. She was extracted from the vehicle and taken to hospital by ambulance for treatment. No information about her medical condition was available at the time of writing, but a police spokesperson said her injuries were not critical. The road was temporarily closed to traffic while officers cleared the scene.",09/08/2025,09/08/2025 07:30,triq il-pellikan,san gwann,slight,25,F,1,car,,,,,,,,,,,,,,,,20250809,,1,retain,san gwann,triq il-pellikan,
article_467110.0,Brazilian motorcyclist grievously injured in Ä¦al GÄ§axaq accident,"A motorcyclist was grievously injured following an accident in Ä¦al GÄ§axaq on Tuesday evening.Â  The accident occurred at around 6pm in Â Triq Dawret Ä¦al GÄ§axaq. It involvedÂ  a Madison motorcycle driven by a 29-year-old Brazilian man, a Å»urrieq resident, and a Volvo XC60 driven by a 42-year-old man from Ä¦al GÄ§axaq. The motorcyclist was taken to Mater Dei Hospital by ambulance, where he was certified to have sustained serious injuries. Investigations are ongoing.",30/07/2025,08/08/2025 15:30,triq dawret hal ghaxaq,hal ghaxaq,Grievious,29,M,1,Motorbike,Grievious,42,M,0,Car,,,,,,,,,,,20250808,Grievious,1,retain,ghaxaq,dawret hal ghaxaq,
release_550,3 persons injured in separate traffic accidents,"Three persons were taken to Mater Dei Hospital, yesterday, after they were injured in two separate traffic accidents.The first accident occurred at around 1130 hrs, in Salina Street, Naxxar. Preliminary investigations showed that a collision occurred between a Nooma Bravo GLE motorcycle driven by a 48-year-old Bulgarian from St Paulâ€™s Bay and a Hyundai I10 driven by a 60-year-old Spaniard.The second accident occurred at 1230 hrs in Cospicua Road, Zabbar. Preliminary investigations showed that a collision occurred between a Fiat Scudo driven by a 23-year-old man from Kirkop and a Honda NSS motorcycle driven by a 45-year-old man from Å»abbar. An 8-year-old boy was also on the bike.A medical team assisted in the two incidents and the motorcyclists and the 8-year-old boy were taken to hospital by an ambulance for medical treatment. Later, they were certified to have sustained grievous injuries.Police investigations are ongoing.",07/08/2025,07/08/2025 12:30,cospicua road,zabbar,not injured,23,unknown,0,Car,Grievious,45,unknown,2,Motorbike,,,,,,,,,,,20250807,Grievious,2,retain,zabbar,cospicua road,
release_55,3 persons injured in separate traffic accidents,"Three persons were taken to Mater Dei Hospital, yesterday, after they were injured in two separate traffic accidents.The first accident occurred at around 1130 hrs, in Salina Street, Naxxar. Preliminary investigations showed that a collision occurred between a Nooma Bravo GLE motorcycle driven by a 48-year-old Bulgarian from St Paulâ€™s Bay and a Hyundai I10 driven by a 60-year-old Spaniard.The second accident occurred at 1230 hrs in Cospicua Road, Zabbar. Preliminary investigations showed that a collision occurred between a Fiat Scudo driven by a 23-year-old man from Kirkop and a Honda NSS motorcycle driven by a 45-year-old man from Å»abbar. An 8-year-old boy was also on the bike.A medical team assisted in the two incidents and the motorcyclists and the 8-year-old boy were taken to hospital by an ambulance for medical treatment. Later, they were certified to have sustained grievous injuries.Police investigations are ongoing.",07/08/2025,07/08/2025 11:30,salina street,naxxar,Grievious,48,unknown,1,Motorbike,not injured,60,unknown,0,Car,,,,,,,,,,,20250807,Grievious,1,retain,naxxar,triq is-salina,
article_489733.0,Cab ploughs into hairdresser's salon in Santa Venera,"Updated 9.56am A taxi crashed into a hairdresser's salon in Santa Venera on Thursday morning. The car, a Y-plate vehicle, ploughed into Marica's Salon on Cannon Road at around 8am, with police and Civil Protection Department officers on the scene shortly after. A visit to the site showed the car almost completely inside the salon after smashing through the glass at the front of the business. Nobody is believed to have been inside the salon at the time. The driver of the vehicle is believed to have been taken to hospital after sustaining injuries in the crash. The salon describes itself as being in Santa Venera, and is located on the border between the locality and Ä¦amrun. More to follow.",07/08/2025,07/08/2025 08:00,cannon road,santa venera,Serious,none,none,1,car,,,,,,,,,,,,,,,,20250807,Serious,1,retain,santa venera,cannon road,
article_490746.0,"Drunk cab driver was waiting for passengers before crash into salon, court hears","A cab driver who was over the legal alcohol limit when he crashed into a Santa Venera hair salon told police he had been waiting for passengers, a court has heard. Abdi Salaan Mahamad Abditon Ali had a reading of 107.3 micrograms of alcohol per 100 ml breath, when the legal limit for cab drivers is zero, after the crash into Maricaâ€™s Salon, on Cannon Road, on August 7. A court on Monday heard that he gave a statement to police, in which he said he was waiting for passengers just before the collision. ""Thank God no one requested a cabâ€¦ It could have resulted in fatalities,â€ police inspector Nathan Bugeja told the court.Â   The 42-year-old Somali national stands accused of driving in a negligent, dangerous and reckless manner, causing damage to third property, and driving under influence. He denies the charges. The salon was still closed at the time of the incident and there were no injuries. A police constable testified about receiving a call regarding the collision, with the initial information stating that the vehicle had crashed into a â€œhouseâ€. When the witness got onsite, he found the owner, Marica Baldacchino, who had not seen the incident. The witness went to Mater Dei Hospital where he spoke to the driver. He returned back when another constable was subjecting the driver to the a breathalyzer test. The constable underlined that a cab driverâ€™s limit is 0 Î¼g/100ml. During Mondayâ€™s sitting, the prosecution and defence made submissions on bail. Police inspector Bugeja objected due to the seriousness of the crime.Â  Bugeja also highlighted that although the manâ€™s address on his official documents and the charge sheet state that he lives in St Paulâ€™s Bay, the police accompanied him to a Ä¦amrun address to collect his passport. Defence lawyer Francesca Zarb counter-argued that the defendant has been in Malta since 2008 and this was his first brush with the law. He was granted subsidiary protection and has a residence permit. The lawyer observed that the court as presided hears cases on traffic collisions and argued that individuals with the same charges are brought before it under summons not under arrest. Zarb also argued that whether the man is granted bail or otherwise, the amount of damages would not be affected. Bugeja rebutted the argument stating that usually collisions do not involve third parties, nor do they involve damages running into thousands of euros. While an exact figure was not given during Mondayâ€™s sitting, the damages sustained are between â‚¬10,000 to â‚¬15,000. These will be confirmed once the salon owner takes the stand. The police inspector also added that the man poses a risk to the public. Zarb observed that two of Aliâ€™s friends were present in the courtroom, with one of them willing to host him. The friend told the court that he came to Malta in 2006 and has known the accused for the past eight years. The court then asked the accused whether he held a bank account, signalling it was willing to grant bail, only if a bank guarantee could be made. After establishing that Ali lacked a bank account with a local bank through which he could guarantee at least â‚¬10,000 in favour of the victim, the court denied the man bail. In its decision, the court held that it does not have the peace of mind he would be able to satisfy all conditions otherwise imposed by the court in a bail decree, even though at this stage, the man is presumed innocent until proven guilty. The case continues later this month. Magistrate Victor Axiak presided.Police inspectors Nathan Bugeja and Rachel Aquilina prosecuted.Lawyer Francesca Zarb appeared for the accused.Lawyers Zack Esmail and Kaylie Borg appeared parte civile.",18/08/2025,07/08/2025 08:00,cannon road,santa venera,not injured,42,M,0,car,,,,,,,,,,,,,,,,20250807,not injured,0,delete,santa venera,cannon road,article_489733.0
article_490008.0,"Driver was drunk when cab crashed into hairdresser's salon, court told","The motorist who was behind the wheel of a cab thatÂ crashed into a hairdresser's shop on Thursday morning was drunk, a court heard during his arraignment on Sunday. Police Inspector Nathan Bugeja told Magistrate Gianella Camilleri Busuttil that the motorist, 42-year-old Somali Abdi Salaan Mahammad Abditon, suffered slight injuries when he lost control of the car and crashed into the salon on Cannon Road, Sta Venera. A breathalyser test in hospital showed an alcohol level of over 100 when he should not have had any alcoholic drink, being a cab driver.Â  No one was injured in the incident, which happened at about 8am and was recorded on CCTV.Â  The hairdresser avoided injury because she happened to be outside feeding cats. The defence requested bail, with the legal aid lawyer arguing that his client had not had any previous court cases and did not know the witnesses. The prosecution opposed the request, pointing out that this was a serious case, and the accused had told the police that he wished to speak to the shop's owner. Bail was denied.",10/08/2025,07/08/2025 08:00,cannon road,sta venera,not injured,42,M,0,car,,,,,,,,,,,,,,,,20250807,not injured,0,delete,santa venera,cannon road,article_489733.0
article_489990.0,Companies rally to help Sta Venera hair salon after car crash,"A number of companies have offered to help the owner of a Santa Venera hair salon to clear up the wreckage and debris for free after a car smashed through the shopâ€™s glass doors. The salon was extensively damaged on Thursday morning after a Y-plate cab ploughed into the salonâ€™s glass doors at speed, smashing through furniture and stopping just in front of the reception desk. CCTV footage showed the accident left shattered glass, broken furniture and other debris. On Friday, JA Transport left a message on popular Facebook group Are You Being Served to reach out to the owner of Maricaâ€™s Salon offering the companyâ€™s services for free, saying they were available to help her â€œget back on her feet as quickly as possibleâ€. Maverick Baldacchino, the hair salon ownerâ€™s son, replied: â€œMay there be more people like you in the worldâ€. Other companies quickly followed JA Transportâ€™s initiative. JG Cleaning Services offered their help for free while Bieb u GÄ§atba turnkey project management company said â€œlet us know how we can give you a helping handâ€. Amai beauty salon offered the hairdresser a work station.  The companiesâ€™ â€œheartwarmingâ€ offer for help was met with a considerable response with many commenting on the â€œpositive and amazing gestureâ€ and remarking that â€œthere are not many people of goodwill left like youâ€. The salon on Canon Road was empty at the time of the accident and the owner, Marica Baldacchino, happened to be out feeding stray cats. The driver, a 42-year-old man from Somalia who resides in St Paul's Bay sustained slight injuries. In a social media post, the hairdresser's son Maverick wrote the salon would be open for business as usual on Friday, the morning after the accident, despite the damage sustained to the outlet.",09/08/2025,07/08/2025 00:00,canon road,santa venera,Serious,42,M,1,car,,,,,,,,,,,,,,,,20250807,Serious,1,retain,santa venera,cannon road,
article_467164.0,"Karmenu Muscat, driving instructor who died in bus accident, was an Olympian","Karmenu Muscat, the Tallinja driving instructor who died on Tuesday after a bus rolled back on him, was part of Maltaâ€™s representation in the 1980 Olympics. In a tribute post to the 63-year-old, the Maltese Olympic Committee said Muscatâ€™s Olympian legacy will not be forgotten. â€œKarmenu proudly represented Malta in cycling at the 1980 Moscow Olympic Games,â€ the MOC said, adding they are â€œdeeply saddenedâ€ by his passing. Muscat was among only a handful of Maltese athletes in the Games held 45 years ago.  As part of the cycling team, Muscat participated in the team trials where Malta finished in the 20th position out of 23 nations, beating Libya, Cameroon and Ethiopia. The MOC sent their condolences to Muscatâ€™s family and loved ones. Muscat, who was a bus driving instructor, was caught between a back-rolling bus and a wall during the Tuesday afternoon incident at the Floriana Park and Ride.Â  A medical team was on site and Muscat was taken immediately to Mater Dei Hospital but died shortly afterwards. In a Facebook post, Malta's public transport operator Tallinja said the organisation was ""deeply saddened by the tragic loss of our colleague and dear friend, Karmenu Muscat, who passed away today in a devastating accident"". The company described him as someone many looked up to for his â€œpatience, professionalism, and dedicationâ€.",30/07/2025,06/08/2025 15:30,floriana park and ride,floriana,Fatal,63,M,0,bus,,,,,,,,,,,,,,,,20250806,Fatal,0,retain,floriana,floriana park and ride,
article_489728.5,Eight-year-old and two motorcyclists seriously injured in two traffic accidents,"Two motorcycle drivers and an eight-year-old boy were taken to hospital yesterday with serious injuries following traffic accidents in Naxxar and Å»abbar. The first accident occurred at around 11.30 am, when a Nooma Bravo GLE motorbike driven by a 48-year-old Bulgarian resident of St. Paulâ€™s Bay was involved in a collision with a Hyundai I10 driven by a 60-year-old Spaniard on Triq is-Salina in Naxxar. The second accident took place around an hour later on Triq Bormla in Å»abbar, when a Fiat Scudo driven by a 23-year-old man from Kirkop and a Honda NSS motorbike driven by a 45-year-old man from Å»abbar, with an eight-year-old boy riding as passenger, collided. All those involved were treated at the scene, with both motorcycle drivers and the eight-year-old boy taken to Mater Dei Hospital, where their injuries were certified as serious. Police investigations are ongoing.",07/08/2025,06/08/2025 12:30,triq bormla,naxxar,serious,45,M,1,Motorbike,serious,23,M,1,car,,,,,,,,,,,20250806,,2,retain,naxxar,triq bormla,
article_489720.0,Three people seriously injured in two traffic accidents,"Three people were taken to hospital yesterday with serious injuries following traffic accidents in Naxxar and Å»abbar. The first accident occurred at around 11.30 am, when a Nooma Bravo GLE motorbike driven by a 48-year-old Bulgarian resident of St. Paulâ€™s Bay was involved in a collision with a Hyundai I10 driven by a 60-year-old Spaniard on Triq is-Salina in Naxxar. The second accident took place around an hour later, when a Fiat Scudo driven by a 23-year-old man from Kirkop and a Honda NSS motorbike driven by a 45-year-old man from Å»abbar, with an eight-year-old boy riding as passenger, collided. All those involved were treated at the scene, with both motorcycle riders and the eight-year-old passenger taken to Mater Dei Hospital, where their injuries were certified as serious. Police investigations are ongoing.",07/08/2025,06/08/2025 12:30,triq bormla,naxxar,serious,45,M,1,Motorbike,,,,,,,,,,,,,,,,20250806,,1,delete,naxxar,triq bormla,article_489728.5
article_489728.0,Eight-year-old and two motorcyclists seriously injured in two traffic accidents,"Two motorcycle drivers and an eight-year-old boy were taken to hospital yesterday with serious injuries following traffic accidents in Naxxar and Å»abbar. The first accident occurred at around 11.30 am, when a Nooma Bravo GLE motorbike driven by a 48-year-old Bulgarian resident of St. Paulâ€™s Bay was involved in a collision with a Hyundai I10 driven by a 60-year-old Spaniard on Triq is-Salina in Naxxar. The second accident took place around an hour later on Triq Bormla in Å»abbar, when a Fiat Scudo driven by a 23-year-old man from Kirkop and a Honda NSS motorbike driven by a 45-year-old man from Å»abbar, with an eight-year-old boy riding as passenger, collided. All those involved were treated at the scene, with both motorcycle drivers and the eight-year-old boy taken to Mater Dei Hospital, where their injuries were certified as serious. Police investigations are ongoing.",07/08/2025,06/08/2025 11:30,triq is-salin,naxxar,serious,48,M,0,Motorbike,serious,60,M,0,car,,,,,,,,,,,20250806,,0,retain,naxxar,triq is-salina,
article_489370.0,Two people left with serious injuries in separate traffic accidents,"Two people were left with serious injuries in separate traffic accidents on Monday. The first incident occurred at around 3.30pm on Aldo Moro Street in Marsa, when a Kymco motorcycle ridden by a 67-year-old man from Tarxien and a BMW I3 car driven by a 79-year-old Sliema woman were involved in a collision. The man was treated at the scene before being taken to Mater Dei Hospital. The second incident took place at around 5pm on Triq il-Mosta in Lija, when a collision occurred between a Mercedes A180 driven by a 28-year-old man from Birkirkara and a Renault Megane driven by a 36-year-old Naxxar woman. The 28-year-old was treated at the scene and taken to Mater Dei. Both hospitalised motorists were certified as suffering from serious injuries. Police investigations are ongoing.",05/08/2025,04/08/2025 17:00,triq il-mosta,lija,Serious,28,M,1,car,Serious,36,F,1,car,,,,,,,,,,,20250804,Serious,2,retain,lija,mosta road,
article_467167.0,Ex-footballer Alfred Azzopardi 'fighting for life' after crash that killed wife,"The son of former Malta footballer Alfred Azzopardi says he is fighting for his life after a car crash that killed his wife on Sunday.Â  Cain Azzopardi paid a heartbreaking tribute to his mother, Mildred, who was crushed to death when a Subaru Imprezza crashed into the parked family car. The driver of the Subaru Impreza, 23-year-old soldier Benjamin Chetcuti, has been charged with involuntary homicide and drink-driving. He denies all charges. ""You didn't deserve this ma after someone irresponsible took your life, we miss you so much and we keep pushing forward as dad keeps fighting for his life,"" Cain Azzopardi wrote on Facebook on Wednesday. ""My best friend, we won't be visiting the Pyramids in Egypt together like we always wanted to. But I know you will there with me. I love you â¤ï¸""  Another of the victim's four children, Amy Azzopardi, shared details of her funeral, which will be held at 9.15am on Saturday at the Floriana Saint Publius Church.Â  She asked mourners not to wear black, but instead dress in colour ""preferably turquoise or orange her favourite colours"". The couple had finished a fishing trip at the Valletta waterfront when the crash happened at Ta' Liesse in Valletta. Mildred Azzopardi, 62, was outside the parked Ford Fiesta while her husband Alfred Azzopardi, 69, was inside.Â  Alfred Azzopardi is a popular figure in Ä¦amrun, given his successful career as a football player with Ä¦amrun Spartans during their golden years in the 1980s. He played as a defender, spending over 10 years with the Spartans, helping the Reds to Premier League promotion in season 1975-76. His best years with the Spartans arrived in the 1980s as he helped his club to a league and cup double in season 1982-83 and the FA Trophy the following campaign. In season 1985-86, he helped the Reds to lift the Euro Cup. During his career, Azzopardi also donned the colours of Hibernians and was selected to represent the Malta national team, where he collected eight international caps.",30/07/2025,04/08/2025 15:30,ta' liesse,valletta,Fatal,23,M,1,car,Fatal,69,M,1,car,,,,,,,,,,,20250804,Fatal,2,retain,valletta,liesse hill,
release_67,Man grievously injured in traffic accident,"A 28-year-old man who lives in GÄ§argÄ§ur, at around 0745hrs, was taken to Mater Dei Hospital because he was injured in a traffic accident in Triq ix-Xatt Taâ€™ Xbiex, Taâ€™ Xbiex.Preliminary investigations showed that the man was hit by a Toyota IQ, which was being driven by a 52-year-old Italian man residing in Gzira.The man was assisted by a medical team, taken to hospital by ambulance and certified to have sustained grievous injuries.Police investigations are ongoing.",04/08/2025,04/08/2025 07:45,triq ix-xatt ta xbiex,ta xbiex,Grievious,52,M,1,Car,,,,,,,,,,,,,,,,20250804,Grievious,1,retain,ta xbiex,triq ix-xatt ta' xbiex,
release_8,Zejtun traffic accident,"This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Å»ejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",03/08/2025,03/08/2025 08:15,triq tal-barrani,zejtun,Serious,66,M,1,Car,Grievious,30,F,1,Motorbike,,,,,,,,,,,20250803,Serious,2,retain,zejtun,triq tal-barrani,
article_451726.0,Man dies after being hit by a bus at Floriana Park and Ride,"A 63-year-old man from Naxxar has died after being hit by a bus at the Floriana Park and Ride facility.Â  The accident happened at around 1.45 pm on Tuesday. He was taken to Mater Dei Hospital by ambulance, where he was being treated for serious injuries, police said. He was later pronounced dead. It is the fifth fatal accident on Malta's roads in just four days.Â  On Saturday, aÂ 27-year-old motorcyclistÂ was killed when his bike was involved in a crash with a BMW in Pembroke in the early hours of the morning.Â  The following day a woman died in a head-on crash in Fgura that also involved former president George Abela and his wife. A motorcyclist died in Pieta a few hours later.Â  And on Sunday eveningÂ  mother of four, Mildred Azzopardi, died when she was trapped between two cars in a crash on Sunday evening. A 23-year-old soldier has been charged with involuntary homicide for Azzopardi's death.",29/07/2025,02/08/2025 15:30,floriana park and ride facility,floriana,Fatal,none,none,1,bus,,,,,,,,,,,,,,,,20250802,Fatal,1,retain,floriana,floriana park and ride,
article_386315.0,Your life was cut too soon': Mildred Azzopardi killed in tragic Valletta crash,"A mother-of-four who died when she was trapped between two cars in a crash on Sunday has been named as Mildred Azzopardi.Â  The 62-year-old from Ä¦amrun was at Ta' Liesse in Valletta, when a Subaru Impreza driven by a 23-year-old man from Paola collided with a Ford Fiesta which was stopped by the side of the road. She was trapped between the two cars at the time and died on the spot. In a heartfelt message shared on Facebook, her sister, Frida Farrugia, expressed grief at the way her sister's â€œlife was cut short too soonâ€.Â  â€œYou will always be remembered by us, your siblings, as a guiding light and loved till we meet again. You will be sorely missedâ€¦. I love you to death my dearest sister. Look after your children, your husband and your little grandchildren,â€ her sister wrote. The woman had been fishing shortly before the accident on Sunday at 10pm. Â  She was the third person to die on the roads inÂ three separate accidents on Sunday. Earlier that evening, at about 7.30pm, in Marina Street, Pietaâ€™ a 58-year-old man from Å»ejtun lost control of his Honda motorcycle, crashed into a pavement and fell off. He died soon after. In the afternoon, a 71-year-old woman died and another is in a critical condition following a two-carÂ crash involving Robert Abela's mother and father â€“ former president George Abela and Margaret Abela. The crash happened at around 3.30pm on Triq Hompesh, the busy Fgura road leading to Å»abbar. A 23-year-old woman from Å»abbar who was driving the vehicle is in a critical condition. Prime Minister Robert Abela later said his parents were in a stable condition in hospital.",28/07/2025,31/07/2025 15:30,ta' liesse,valletta,Fatal,23,M,0,car,Fatal,none,none,2,car,,,,,,,,,,,20250731,Fatal,2,retain,valletta,liesse hill,
